delivery_id,order_time,pickup_node,drop_node,package_weight_kg,order_priority,SLA_minutes,assigned_vehicle,predicted_eta_min,actual_eta_min,reroute_count,delay_flag,energy_cost_wh,operational_cost_rs,vehicle_id,vehicle_type,timestamp,latitude,longitude,speed_kmph,battery_level_%,payload_weight_kg,status,rainfall_mm,wind_speed_kmph,visibility_km,temperature_c,drone_operational_flag,estimated_delivery_time_min,delay_risk_score,delivery_mode,distance_km,fuel_used_liters,fuel_cost_rs
3342,1/4/2026 7:25,1436,1473,3.59,normal,56,scooter,32.65,35.28,0,0,54.62,43.26,165,scooter,1/1/2026 0:00,12.92020565,77.63556273,58.64,65.22,3.05,charging,4.71,26.03,3.66,27.52,0,11.07366729,0.973845508,AI_Scooter,2.5,0.0,0.0
2172,1/4/2026 4:00,1074,2464,3.18,high,33,scooter,29.12,38.54,2,1,245.44,113.04,51,drone,1/1/2026 0:00,12.93524415,77.61098549,12.12,45.13,5.98,enroute,4.71,26.03,3.66,27.52,0,1.69806611,1.318323388,Drone,4.8,0.0,0.0
2525,1/2/2026 2:39,2225,1329,5.56,normal,40,scooter,24.26,29.68,2,0,184.82,29.1,74,drone,1/1/2026 0:03,12.94402207,77.62818664,13.11,78.07,3.79,charging,3.01,10.5,8.13,27.76,1,5.031181386,0.852043379,Drone,3.93,0.0,0.0
2389,1/2/2026 5:08,191,2063,1.03,normal,33,scooter,11.23,11.9,2,0,437.32,132.54,74,drone,1/1/2026 0:03,12.94402207,77.62818664,13.11,78.07,3.79,charging,3.01,10.5,8.13,27.76,1,13.68709757,0.792632044,Drone,3.39,0.0,0.0
4270,1/3/2026 17:58,2044,1546,6.68,normal,56,scooter,12.67,10.94,0,0,348.36,135.16,79,scooter,1/1/2026 0:03,12.93818469,77.63701859,22.93,64.93,7.29,idle,3.01,10.5,8.13,27.76,1,2.235608711,0.213015873,AI_Scooter,1.62,0.0,0.0
710,1/2/2026 22:03,1484,2353,3.95,normal,40,scooter,16.52,24.97,3,0,374.41,110.39,79,scooter,1/1/2026 0:03,12.93818469,77.63701859,22.93,64.93,7.29,idle,3.01,10.5,8.13,27.76,1,8.823574414,0.497212915,AI_Scooter,1.62,0.0,0.0
1826,1/2/2026 21:47,607,1526,4.35,normal,26,scooter,16.7,9.55,3,0,224.36,110.27,183,drone,1/1/2026 0:10,12.93023345,77.63977787,42.05,92.33,2.58,charging,4.05,20.67,6.84,24.71,1,8.50716359,0.944440301,Drone,1.23,0.0,0.0
1851,1/3/2026 22:26,2332,914,3.88,normal,31,scooter,36.07,51.23,3,1,472.03,28.61,183,drone,1/1/2026 0:10,12.93023345,77.63977787,42.05,92.33,2.58,charging,4.05,20.67,6.84,24.71,1,5.727539653,0.320478677,Drone,4.46,0.0,0.0
2588,1/4/2026 10:10,605,907,2.38,normal,57,drone,28.87,30.96,3,0,261.5,50.01,183,drone,1/1/2026 0:10,12.93023345,77.63977787,42.05,92.33,2.58,charging,4.05,20.67,6.84,24.71,1,11.31100277,1.695782443,Drone,3.4,0.0,0.0
1229,1/1/2026 18:50,437,2294,4.71,normal,40,scooter,28.0,36.75,2,0,236.07,92.51,12,drone,1/1/2026 0:10,12.92038971,77.62797825,11.92,13.72,0.43,enroute,4.05,20.67,6.84,24.71,1,5.430788,1.158811742,Drone,3.83,0.0,0.0
4716,1/3/2026 1:58,1435,1348,5.11,normal,33,scooter,19.94,27.11,3,0,417.72,141.36,148,drone,1/1/2026 0:11,12.93169383,77.63390999,47.6,92.95,4.37,idle,1.42,26.03,5.8,33.72,0,9.729024818,1.770911489,Drone,1.08,0.0,0.0
4939,1/2/2026 18:40,978,1058,5.4,normal,44,scooter,23.06,21.48,3,0,490.35,119.02,100,scooter,1/1/2026 0:11,12.927242,77.60401339,39.35,16.44,4.01,charging,1.42,26.03,5.8,33.72,0,12.20062605,0.735099844,AI_Scooter,4.88,0.0,0.0
2735,1/2/2026 21:48,2168,2033,0.86,high,40,scooter,27.48,38.8,2,0,198.34,85.82,100,scooter,1/1/2026 0:11,12.927242,77.60401339,39.35,16.44,4.01,charging,1.42,26.03,5.8,33.72,0,3.735470334,0.408182383,AI_Scooter,4.33,0.0,0.0
